lr_er,lr_er_desc,handNumber,handResult,handsWonRunningTotal,avgHandsWonRunningTotal,handsInInterval,handsWonInInterval,avgHandsWonInInterval,handsInFirstFinalLargeInterval,handsWonInFirstFinalLargeInterval,avgHandsWonInFirstFinalLargeInterval,handsInFirstFinalIntervalFlag,firstLargeIntervalFlag,finalLargeIntervalFlagList
0.1_0.05,"lr: 0.1, er: 0.05",860000,0,363698,0.422905,10000,4308,0.4308,,,,0,0,0
0.1_0.05,"lr: 0.1, er: 0.05",870000,0,367900,0.422874,10000,4202,0.4202,,,,0,0,0
0.1_0.05,"lr: 0.1, er: 0.05",880000,1,372087,0.422826,10000,4187,0.4187,,,,0,0,0
0.1_0.05,"lr: 0.1, er: 0.05",890000,0,376413,0.422936,10000,4326,0.4326,,,,0,0,0
0.1_0.05,"lr: 0.1, er: 0.05",900000,0,380693,0.422992,10000,4280,0.428,,,,0,0,0
0.1_0.05,"lr: 0.1, er: 0.05",910000,1,385025,0.423104,10000,4332,0.4332,,,,0,0,0
0.1_0.05,"lr: 0.1, er: 0.05",920000,1,389255,0.423103,10000,4230,0.423,,,,0,0,0
0.1_0.05,"lr: 0.1, er: 0.05",930000,0,393523,0.423143,10000,4268,0.4268,,,,0,0,0
0.1_0.05,"lr: 0.1, er: 0.05",940000,1,397788,0.423179,10000,4265,0.4265,,,,0,0,0
0.1_0.05,"lr: 0.1, er: 0.05",950000,0,402084,0.423246,10000,4296,0.4296,,,,0,0,0
0.1_0.05,"lr: 0.1, er: 0.05",960000,1,406366,0.423298,10000,4282,0.4282,,,,0,0,0
0.1_0.05,"lr: 0.1, er: 0.05",970000,1,410629,0.423329,10000,4263,0.4263,,,,0,0,0
0.1_0.05,"lr: 0.1, er: 0.05",980000,0,414878,0.423345,10000,4249,0.4249,,,,0,0,0
0.1_0.05,"lr: 0.1, er: 0.05",990000,0,419181,0.423415,10000,4303,0.4303,,,,0,0,0
0.1_0.05,"lr: 0.1, er: 0.05",1000000,0,423464,0.423464,10000,4283,0.4283,,,,0,0,0
0.1_0.05,"lr: 0.1, er: 0.05",1010000,0,427737,0.423502,10000,4273,0.4273,,,,0,0,0
0.1_0.05,"lr: 0.1, er: 0.05",1012532,0,428834,0.423526,2532,1097,0.433254,100000.0,42760.0,0.4276,1,0,1
0.1_0.1,"lr: 0.1, er: 0.1",10000,0,3947,0.3947,10000,3947,0.3947,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",20000,0,7933,0.39665,10000,3986,0.3986,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",30000,1,11964,0.3988,10000,4031,0.4031,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",40000,0,16078,0.40195,10000,4114,0.4114,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",50000,0,20162,0.40324,10000,4084,0.4084,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",60000,0,24310,0.405167,10000,4148,0.4148,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",70000,0,28445,0.406357,10000,4135,0.4135,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",80000,1,32682,0.408525,10000,4237,0.4237,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",90000,1,36846,0.4094,10000,4164,0.4164,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",100000,1,40989,0.40989,10000,4143,0.4143,100000.0,40989.0,0.40989,1,1,0
0.1_0.1,"lr: 0.1, er: 0.1",110000,0,45149,0.410445,10000,4160,0.416,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",120000,1,49265,0.410542,10000,4116,0.4116,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",130000,1,53388,0.410677,10000,4123,0.4123,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",140000,0,57452,0.410371,10000,4064,0.4064,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",150000,0,61507,0.410047,10000,4055,0.4055,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",160000,1,65520,0.4095,10000,4013,0.4013,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",170000,0,69598,0.4094,10000,4078,0.4078,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",180000,0,73739,0.409661,10000,4141,0.4141,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",190000,1,77790,0.409421,10000,4051,0.4051,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",200000,0,81891,0.409455,10000,4101,0.4101,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",210000,0,86033,0.409681,10000,4142,0.4142,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",220000,0,90149,0.409768,10000,4116,0.4116,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",230000,0,94421,0.410526,10000,4272,0.4272,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",240000,0,98669,0.411121,10000,4248,0.4248,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",250000,0,102822,0.411288,10000,4153,0.4153,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",260000,0,107013,0.411588,10000,4191,0.4191,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",270000,0,111092,0.411452,10000,4079,0.4079,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",280000,0,115305,0.411804,10000,4213,0.4213,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",290000,0,119372,0.411628,10000,4067,0.4067,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",300000,0,123620,0.412067,10000,4248,0.4248,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",310000,0,127774,0.412174,10000,4154,0.4154,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",320000,0,132001,0.412503,10000,4227,0.4227,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",330000,1,136196,0.412715,10000,4195,0.4195,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",340000,1,140379,0.412879,10000,4183,0.4183,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",350000,1,144543,0.41298,10000,4164,0.4164,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",360000,0,148740,0.413167,10000,4197,0.4197,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",370000,0,152845,0.413095,10000,4105,0.4105,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",380000,0,157084,0.413379,10000,4239,0.4239,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",390000,0,161286,0.413554,10000,4202,0.4202,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",400000,0,165342,0.413355,10000,4056,0.4056,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",410000,1,169528,0.413483,10000,4186,0.4186,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",420000,0,173817,0.41385,10000,4289,0.4289,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",430000,0,178007,0.41397,10000,4190,0.419,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",440000,0,182246,0.414195,10000,4239,0.4239,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",450000,0,186486,0.414413,10000,4240,0.424,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",460000,0,190675,0.414511,10000,4189,0.4189,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",470000,0,194880,0.414638,10000,4205,0.4205,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",480000,1,199099,0.41479,10000,4219,0.4219,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",490000,1,203343,0.414986,10000,4244,0.4244,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",500000,1,207577,0.415154,10000,4234,0.4234,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",510000,0,211823,0.415339,10000,4246,0.4246,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",520000,1,215994,0.415373,10000,4171,0.4171,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",530000,1,220281,0.415625,10000,4287,0.4287,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",540000,0,224455,0.415657,10000,4174,0.4174,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",550000,0,228735,0.415882,10000,4280,0.428,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",560000,0,232990,0.416054,10000,4255,0.4255,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",570000,0,237213,0.416163,10000,4223,0.4223,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",580000,1,241469,0.416326,10000,4256,0.4256,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",590000,0,245693,0.416429,10000,4224,0.4224,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",600000,0,249830,0.416383,10000,4137,0.4137,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",610000,1,254029,0.416441,10000,4199,0.4199,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",620000,0,258285,0.416589,10000,4256,0.4256,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",630000,1,262554,0.416752,10000,4269,0.4269,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",640000,0,266726,0.416759,10000,4172,0.4172,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",650000,1,270970,0.416877,10000,4244,0.4244,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",660000,0,275253,0.41705,10000,4283,0.4283,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",670000,0,279510,0.417179,10000,4257,0.4257,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",680000,0,283740,0.417265,10000,4230,0.423,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",690000,1,287982,0.417365,10000,4242,0.4242,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",700000,0,292141,0.417344,10000,4159,0.4159,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",710000,0,296287,0.417306,10000,4146,0.4146,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",720000,0,300491,0.417349,10000,4204,0.4204,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",730000,1,304757,0.417475,10000,4266,0.4266,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",740000,0,308938,0.417484,10000,4181,0.4181,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",750000,1,313179,0.417572,10000,4241,0.4241,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",760000,0,317417,0.417654,10000,4238,0.4238,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",770000,1,321734,0.417836,10000,4317,0.4317,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",780000,0,326031,0.417988,10000,4297,0.4297,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",790000,0,330366,0.418185,10000,4335,0.4335,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",800000,1,334635,0.418294,10000,4269,0.4269,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",810000,1,338880,0.41837,10000,4245,0.4245,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",820000,1,343104,0.41842,10000,4224,0.4224,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",830000,0,347293,0.418425,10000,4189,0.4189,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",840000,1,351546,0.418507,10000,4253,0.4253,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",850000,1,355855,0.418653,10000,4309,0.4309,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",860000,0,360165,0.418797,10000,4310,0.431,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",870000,1,364376,0.418823,10000,4211,0.4211,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",880000,1,368557,0.418815,10000,4181,0.4181,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",890000,1,372798,0.418874,10000,4241,0.4241,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",900000,0,376982,0.418869,10000,4184,0.4184,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",910000,0,381173,0.418871,10000,4191,0.4191,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",920000,0,385446,0.418963,10000,4273,0.4273,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",930000,0,389730,0.419065,10000,4284,0.4284,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",940000,0,393987,0.419135,10000,4257,0.4257,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",950000,1,398230,0.419189,10000,4243,0.4243,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",960000,0,402479,0.419249,10000,4249,0.4249,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",970000,0,406661,0.419238,10000,4182,0.4182,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",980000,1,410918,0.419304,10000,4257,0.4257,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",990000,0,415232,0.419426,10000,4314,0.4314,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",1000000,0,419365,0.419365,10000,4133,0.4133,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",1010000,1,423585,0.419391,10000,4220,0.422,,,,0,0,0
0.1_0.1,"lr: 0.1, er: 0.1",1013521,1,425104,0.419433,3521,1519,0.431412,100000.0,42394.0,0.42394,1,0,1
0.1_0.3,"lr: 0.1, er: 0.3",10000,0,3771,0.3771,10000,3771,0.3771,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",20000,1,7584,0.3792,10000,3813,0.3813,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",30000,0,11406,0.3802,10000,3822,0.3822,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",40000,0,15323,0.383075,10000,3917,0.3917,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",50000,1,19216,0.38432,10000,3893,0.3893,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",60000,1,23108,0.385133,10000,3892,0.3892,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",70000,1,27064,0.386629,10000,3956,0.3956,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",80000,0,31060,0.38825,10000,3996,0.3996,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",90000,0,34920,0.388,10000,3860,0.386,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",100000,1,38852,0.38852,10000,3932,0.3932,100000.0,38852.0,0.38852,1,1,0
0.1_0.3,"lr: 0.1, er: 0.3",110000,1,42794,0.389036,10000,3942,0.3942,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",120000,1,46684,0.389033,10000,3890,0.389,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",130000,0,50595,0.389192,10000,3911,0.3911,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",140000,0,54465,0.389036,10000,3870,0.387,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",150000,0,58449,0.38966,10000,3984,0.3984,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",160000,1,62305,0.389406,10000,3856,0.3856,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",170000,0,66248,0.389694,10000,3943,0.3943,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",180000,0,70176,0.389867,10000,3928,0.3928,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",190000,1,74140,0.390211,10000,3964,0.3964,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",200000,0,78144,0.39072,10000,4004,0.4004,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",210000,1,82188,0.391371,10000,4044,0.4044,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",220000,1,86108,0.3914,10000,3920,0.392,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",230000,0,90112,0.391791,10000,4004,0.4004,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",240000,1,93998,0.391658,10000,3886,0.3886,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",250000,1,97839,0.391356,10000,3841,0.3841,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",260000,1,101869,0.391804,10000,4030,0.403,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",270000,1,105867,0.3921,10000,3998,0.3998,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",280000,1,109897,0.392489,10000,4030,0.403,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",290000,1,114026,0.393193,10000,4129,0.4129,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",300000,0,118033,0.393443,10000,4007,0.4007,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",310000,0,121891,0.393197,10000,3858,0.3858,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",320000,0,125886,0.393394,10000,3995,0.3995,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",330000,0,129929,0.393724,10000,4043,0.4043,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",340000,0,133965,0.394015,10000,4036,0.4036,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",350000,0,137959,0.394169,10000,3994,0.3994,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",360000,0,141936,0.394267,10000,3977,0.3977,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",370000,1,145982,0.394546,10000,4046,0.4046,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",380000,0,150005,0.39475,10000,4023,0.4023,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",390000,1,153937,0.39471,10000,3932,0.3932,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",400000,1,157948,0.39487,10000,4011,0.4011,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",410000,0,161928,0.394946,10000,3980,0.398,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",420000,1,165972,0.395171,10000,4044,0.4044,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",430000,1,170053,0.395472,10000,4081,0.4081,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",440000,0,174106,0.395695,10000,4053,0.4053,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",450000,1,178127,0.395838,10000,4021,0.4021,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",460000,1,182204,0.396096,10000,4077,0.4077,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",470000,1,186295,0.396372,10000,4091,0.4091,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",480000,0,190390,0.396646,10000,4095,0.4095,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",490000,0,194338,0.396608,10000,3948,0.3948,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",500000,0,198365,0.39673,10000,4027,0.4027,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",510000,0,202473,0.397006,10000,4108,0.4108,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",520000,1,206566,0.397242,10000,4093,0.4093,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",530000,0,210568,0.397298,10000,4002,0.4002,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",540000,0,214572,0.397356,10000,4004,0.4004,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",550000,0,218634,0.397516,10000,4062,0.4062,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",560000,1,222864,0.397971,10000,4230,0.423,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",570000,1,226929,0.398121,10000,4065,0.4065,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",580000,1,231018,0.398307,10000,4089,0.4089,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",590000,1,235022,0.398342,10000,4004,0.4004,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",600000,1,239124,0.39854,10000,4102,0.4102,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",610000,1,243303,0.398857,10000,4179,0.4179,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",620000,0,247379,0.398998,10000,4076,0.4076,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",630000,0,251517,0.399233,10000,4138,0.4138,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",640000,1,255699,0.39953,10000,4182,0.4182,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",650000,1,259889,0.399829,10000,4190,0.419,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",660000,0,264105,0.400159,10000,4216,0.4216,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",670000,0,268343,0.400512,10000,4238,0.4238,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",680000,1,272430,0.400632,10000,4087,0.4087,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",690000,0,276622,0.400901,10000,4192,0.4192,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",700000,1,280695,0.400993,10000,4073,0.4073,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",710000,1,284911,0.401283,10000,4216,0.4216,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",720000,0,289026,0.401425,10000,4115,0.4115,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",730000,1,293116,0.401529,10000,4090,0.409,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",740000,0,297273,0.40172,10000,4157,0.4157,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",750000,1,301432,0.401909,10000,4159,0.4159,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",760000,1,305630,0.402145,10000,4198,0.4198,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",770000,1,309727,0.402243,10000,4097,0.4097,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",780000,0,313962,0.402515,10000,4235,0.4235,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",790000,0,318175,0.402753,10000,4213,0.4213,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",800000,0,322388,0.402985,10000,4213,0.4213,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",810000,1,326589,0.403196,10000,4201,0.4201,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",820000,1,330931,0.403574,10000,4342,0.4342,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",830000,0,335109,0.403746,10000,4178,0.4178,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",840000,0,339279,0.403904,10000,4170,0.417,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",850000,0,343417,0.40402,10000,4138,0.4138,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",860000,0,347584,0.404167,10000,4167,0.4167,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",870000,1,351919,0.404505,10000,4335,0.4335,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",880000,1,356177,0.404747,10000,4258,0.4258,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",890000,1,360359,0.404898,10000,4182,0.4182,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",900000,1,364569,0.405077,10000,4210,0.421,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",910000,1,368847,0.405326,10000,4278,0.4278,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",920000,0,373034,0.405472,10000,4187,0.4187,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",930000,0,377321,0.405722,10000,4287,0.4287,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",940000,0,381498,0.405849,10000,4177,0.4177,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",950000,0,385762,0.406065,10000,4264,0.4264,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",960000,0,389984,0.406233,10000,4222,0.4222,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",970000,0,394253,0.406446,10000,4269,0.4269,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",980000,0,398496,0.406629,10000,4243,0.4243,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",990000,1,402749,0.406817,10000,4253,0.4253,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",1000000,0,407021,0.407021,10000,4272,0.4272,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",1010000,0,411236,0.407164,10000,4215,0.4215,,,,0,0,0
0.1_0.3,"lr: 0.1, er: 0.3",1014212,0,412983,0.407196,4212,1747,0.414767,100000.0,42369.0,0.42369,1,0,1
0.1_0.5,"lr: 0.1, er: 0.5",10000,0,3639,0.3639,10000,3639,0.3639,,,,0,0,0
0.1_0.5,"lr: 0.1, er: 0.5",20000,1,7258,0.3629,10000,3619,0.3619,,,,0,0,0
0.1_0.5,"lr: 0.1, er: 0.5",30000,0,10928,0.364267,10000,3670,0.367,,,,0,0,0
0.1_0.5,"lr: 0.1, er: 0.5",40000,0,14670,0.36675,10000,3742,0.3742,,,,0,0,0
0.1_0.5,"lr: 0.1, er: 0.5",50000,0,18429,0.36858,10000,3759,0.3759,,,,0,0,0
0.1_0.5,"lr: 0.1, er: 0.5",60000,0,22101,0.36835,10000,3672,0.3672,,,,0,0,0
0.1_0.5,"lr: 0.1, er: 0.5",70000,1,25814,0.368771,10000,3713,0.3713,,,,0,0,0
0.1_0.5,"lr: 0.1, er: 0.5",80000,1,29563,0.369538,10000,3749,0.3749,,,,0,0,0
0.1_0.5,"lr: 0.1, er: 0.5",90000,0,33334,0.370378,10000,3771,0.3771,,,,0,0,0
0.1_0.5,"lr: 0.1, er: 0.5",100000,0,37066,0.37066,10000,3732,0.3732,100000.0,37066.0,0.37066,1,1,0
0.1_0.5,"lr: 0.1, er: 0.5",110000,1,40818,0.371073,10000,3752,0.3752,,,,0,0,0
0.1_0.5,"lr: 0.1, er: 0.5",120000,0,44579,0.371492,10000,3761,0.3761,,,,0,0,0
0.1_0.5,"lr: 0.1, er: 0.5",130000,0,48358,0.371985,10000,3779,0.3779,,,,0,0,0
0.1_0.5,"lr: 0.1, er: 0.5",140000,1,52166,0.372614,10000,3808,0.3808,,,,0,0,0
0.1_0.5,"lr: 0.1, er: 0.5",150000,0,55874,0.372493,10000,3708,0.3708,,,,0,0,0
0.1_0.5,"lr: 0.1, er: 0.5",160000,0,59711,0.373194,10000,3837,0.3837,,,,0,0,0
0.1_0.5,"lr: 0.1, er: 0.5",170000,1,63491,0.373476,10000,3780,0.378,,,,0,0,0
0.1_0.5,"lr: 0.1, er: 0.5",180000,0,67312,0.373956,10000,3821,0.3821,,,,0,0,0
0.1_0.5,"lr: 0.1, er: 0.5",190000,1,71125,0.374342,10000,3813,0.3813,,,,0,0,0
0.1_0.5,"lr: 0.1, er: 0.5",200000,1,74989,0.374945,10000,3864,0.3864,,,,0,0,0
